"","x"
"M_",60.4887138066049
"M13167",72.6944083599022
"M19471",73.0652106856821
"M25188",135.170191045352
"M30717",102.448877961193
"M31431",101.074942603928
"M16702",66.6825878435846
"M9193",56.5865699019714
"M6945",59.3848785758699
"M7778",58.1103754239792
"M6946",62.6049479455716
"M6947",75.8409774046873
"M15699",72.81763811352
"M24191",27.7578146664155
"M18372",101.202056026774
"M4666",49.8517081524858
"M13292",77.2961488226383
"M5999",61.1362348929717
"M7035",77.4623943482138
"M10505",55.1923977351305
"M8992",45.5066579162272
"M1878",53.4872219119064
"M9408",65.0483577005471
"M8427",113.172089299212
"M8667",94.6195419557841
"M11197",67.1112326718582
"M1879",81.8102652059392
"M11734",65.0044302522607
"M15986",45.5207655621014
"M17215",83.8522594899094
"M32877",103.138990797316
"M13168",122.602642267048
"M35313",113.89109098033
"M10730",90.7725075946871
"M33713",59.2296466551418
"M9315",62.159386666732
"M14692",61.8492621208018
"M8993",61.147521903574
"M10506",38.0494811285882
"M1880",77.877276038252
"M7879",77.5270900091299
"M15700",48.1188648042678
"M31663",91.7583972913952
"M16818",256.706472453794
"M7233",72.9921785228296
"M23698",53.8899567294951
"M16228",128.785991591049
"M41371",364.166834446125
"M14799",126.17332948255
"M9194",35.5879081058032
"M38746",242.669773256354
"M8994",55.1562900915685
"M15823",85.2788148335024
"M27093",89.5915299532775
"M23433",29.6281387070962
"M8292",54.0044964757948
"M21242",85.7695176333545
"M21527",97.7432500163684
"M14924",111.923191696856
"M35972",163.931913442639
"M6950",76.1576599136374
"M18801",117.213519581208
"M16579",134.426964389223
"M10731",125.412253786381
"M20333",92.9781167629267
"M27846",45.7938284151276
"M41788",114.224701721473
"M28309",128.647500701885
"M40993",163.434700095902
"M23434",59.8228244578726
"M11513",57.2785343043519
"M24925",57.9789984305127
"M16819",174.652247545872
"M20993",92.5205562960799
"M23699",77.9426636005127
"M14800",78.1372490945822
"M17609",215.464940993671
"M35973",86.7169269890228
"M21093",158.941444637896
"M6307",83.9363637080354
"M29372",53.7774531705177
"M35014",107.794338761419
"M18128",60.1830448520964
"M12460",31.7309195694271
"M19951",79.3715770848491
"M15284",39.9495815095827
"M23435",54.1672383684219
"M6204",63.2689424986062
"M23436",36.114276914495
"M14227",112.472740473944
"M23701",47.6927369057944
"M23702",66.5564106606724
"M2516",57.6119210839423
"M19658",62.7260210063027
"M33431",68.4392483311857
"M13384",53.6563795390609
"M26827",151.607389518769
"M30472",118.052062663125
"M28451",159.987397874613
"M19325",80.6951004167399
"M28706",107.086223836024
"M14801",49.1988716092864
"M1604",60.1656067574852
"M26363",146.945681980482
"M8084",73.9431053128006
"M23437",70.5032437627804
"M10033",64.4910969044691
"M23438",63.088199187594
"M5218",94.3753778778259
"M23439",35.834758896578
"M42661",377.187559971863
"M10403",52.2337116887696
"M12055",75.276876092995
"M19473",150.417452744677
"M31206",68.206665857216
"M8183",111.31140490395
"M10644",65.4008062690255
"M13075",100.014482882699
"M17071",78.5444433680629
"M23440",80.9224090853042
"M23441",22.5756810937239
"M23442",81.9628428719147
"M23443",37.4028242994193
"M34341",116.435891670376
"M36470",92.8831256777921
"M27406",70.0013000713529
"M555",88.7626245571877
"M23292",111.738780941399
"M13293",46.2579512522433
"M26939",86.7576932532469
"M3700",89.8830959303279
"M42861",355.042362450183
"M18523",100.083162107964
"M14693",201.033339698258
"M34815",222.344886416653
"M14802",99.0065183032302
"M19037",77.5643591536784
"M29523",135.729759048484
"M5747",62.5823704023714
"M22075",312.644310181646
"M22888",80.6685837847476
"M15824",172.47622132718
"M21528",74.7989761923163
"M28816",103.490136480603
"M8995",72.4553363419099
"M1746",42.897181814703
"M2668",64.5939632602026
"M10270",167.574089331669
"M10271",67.6786520000605
"M29373",60.1415337266206
"M26940",165.952650679135
"M25446",124.270166947182
"M8996",47.595138762508
"M8997",62.1278623102376
"M23576",27.2467531830389
"M979",66.1211389817756
"M8998",51.5072333414859
"M35015",78.1995324263784
"M8999",63.0084185404912
"M12056",128.956673259578
"M1747",64.5373977789605
"M19659",103.566697344103
"M34342",150.950229837082
"M21529",157.869921537277
"M4217",67.0950274103258
"M24809",53.8981284742705
"M27726",129.634067705583
"M31207",130.034139203767
"M17216",103.097347478845
"M190",69.3872571690806
"M25447",90.2425974089193
"M27407",166.221977302838
"M20208",103.279777571746
"M11937",56.2347583310666
"M29641",54.2332283282054
"M28452",208.680537473993
"M6000",62.9881897315065
"M21094",36.6507830416031
"M23577",83.3901596047986
"M20834",82.6623046223891
"M30473",116.910252327596
"M34098",100.091938500876
"M10272",162.20277754836
"M29269",139.482501919112
"M4741",61.5818449055732
"M13994",96.8739183337212
"M27235",44.7748242209794
"M28817",107.59007423843
"M40871",109.669195373156
"M31208",125.181489901801
"M36704",172.092278750131
"M27408",93.5639167674731
"M15407",45.3244196650856
"M5462",59.2338807624221
"M5463",132.973574031329
"M6002",107.405956896676
"M4742",53.5623935564078
"M11304",67.5216019694142
"M42472",135.420738837346
"M3782",111.94723209921
"M23444",108.512631970787
"M12057",63.7466547240329
"M23445",61.6445901116664
"M33216",145.886582198419
"M28818",126.725275034823
"M33217",107.97898899507
"M31209",35.1987945680328
"M4743",58.4611981827544
"M39895",181.152825352695
"M5464",39.3208612777939
"M35695",218.372828826009
"M2201",79.3623324990477
"M16464",61.407504514924
"M31432",93.2264776609115
"M1559",55.3770126377771
"M9522",70.4402541067189
"M17611",109.086790319867
"M33433",83.675099072142
"M15285",164.644670538099
"M30718",107.182483316621
"M14470",56.4416231957932
"M6003",87.7977094089142
"M35457",101.190813244444
"M11821",88.1656202059262
"M3640",101.887702885309
"M4667",67.6728453466564
"M16956",87.3452885382105
"M30474",88.9243812722551
"M40668",166.952001270118
"M41461",214.93461540424
"M13513",124.534211930891
"M17072",62.5910191265423
"M13076",63.4674656325774
"M16957",61.0978506653781
"M30475",230.35511139881
"M31210",107.637413174726
"M25320",86.7770534667502
"M40794",93.5533964199426
"M33574",185.905372069949
"M42231",130.497563334537
"M27848",94.8895990869179
"M25321",109.063366867123
"M14925",105.921652199996
"M30950",115.181593520967
"M26127",112.803800120444
"M15543",112.075885725613
"M6308",76.8393590423714
"M15173",74.1442210744906
"M15034",49.2159885986022
"M2462",59.9230639735206
"M18646",125.319151761738
"M31433",106.020066163983
"M9819",109.964470493479
"M22889",56.5021725882517
"M30115",208.360525270371
"M31775",160.393249848435
"M9316",62.2454258981437
"M6596",80.5562415407928
"M21794",42.6911400400367
"M14803",49.5010513520958
"M14561",79.4620057272805
"M8520",96.2613877887132
"M21916",95.145619238195
"M83",100.457008946795
"M1748",68.6189340602672
"M27727",49.7872924707968
"M36471",175.469956074189
"M13385",47.3670076008152
"M3641",75.658394335611
"M19474",150.051044394504
"M34606",192.947891249863
"M13077",124.660660139418
"M20064",115.878131611346
"M27094",45.4680790280061
"M9409",62.6673193873988
"M36071",156.647796017472
"M12680",63.8490273484631
"M20725",115.953460173024
"M41881",285.422262675338
"M32723",80.5584925230555
"M25322",82.6367759008451
"M34343",232.276952998357
"M2285",47.738736889117
"M2286",82.7620208935044
"M35696",215.532611739037
"M2287",84.0911331623465
"M7342",83.1372586580243
"M9410",146.48400775057
"M191",74.9544198587689
"M24433",45.4762303794462
"M16703",57.8035860953441
"M2288",54.2489863555457
"M17612",74.1548273922857
"M34344",111.35458996713
"M1560",233.564003594056
"M1561",155.325426060115
"M1562",232.543974345103
"M22076",167.168681588157
"M27542",121.239829004286
"M2289",62.0000507242948
"M2290",84.2517126562903
"M6814",128.829138707939
"M2933",94.6203852930851
"M20835",181.616075301198
"M9620",58.9469502556551
"M2291",74.7942442682093
"M1563",192.244972472795
"M22077",153.719978799973
"M13620",84.3793197232956
"M2292",58.137137032478
"M10034",96.7486544042951
"M3260",59.2713997136469
"M1564",102.058088613119
"M2293",83.1726980199348
"M3261",73.6394465244791
"M21795",94.3379043704077
"M3543",63.2470320022128
"M2294",109.907414253281
"M3262",102.897163362306
"M3263",82.5223497135003
"M3264",58.696016050459
"M31434",102.259528603233
"M2295",95.4423259312182
"M31211",42.9433770459565
"M40669",141.596448261878
"M3265",113.152003929974
"M3266",49.4834139957956
"M3267",43.3471581166453
"M16465",116.341646529756
"M3268",52.2614938540351
"M3269",79.1034198142881
"M3270",79.9386941961959
"M3271",59.21367479882
"M3272",72.4562453737341
"M10645",44.9929638783803
"M3273",57.8934465882459
"M15035",82.2019483114441
"M84",63.853105889869
"M16958",144.517980252275
"M529",55.662391431992
"M14804",43.7104191273708
"M2296",47.2385943762835
"M36072",198.253281475869
"M11198",69.7114452743318
"M15036",119.282148542193
"M7234",62.1221776762271
"M3274",53.030505588858
"M3275",60.2912081239184
"M27980",110.421054956665
"M3276",51.4606386402131
"M3277",42.2721060961716
"M3278",41.33754041907
"M26364",109.736302897393
"M30719",138.088523628727
"M3279",78.8887352166812
"M31435",92.442515621564
"M31212",87.6098160822571
"M3280",68.1473646980998
"M31436",79.2689023335895
"M2297",79.6841052620272
"M26365",131.860993086527
"M2349",96.6412033939188
"M28709",138.477081956092
"M21796",64.5673376819159
"M8668",58.9587863982434
"M2768",148.94331837469
"M1285",54.3280996287339
"M33575",148.596600373358
"M36073",135.169618203859
"M20459",139.89757629283
"M21365",65.8385684900902
"M14562",44.1924556408527
"M19152",51.6932950797257
"M21366",115.153726886158
"M30720",92.3439052783302
"M15701",165.29303135373
"M2669",66.6506402804
"M15987",81.2332645114293
"M17217",90.009785421916
"M8293",148.068476794085
"M2769",122.567484546089
"M10035",77.6866442205509
"M9621",61.3351553903691
"M10732",64.585949596483
"M2770",158.467846131765
"M10404",188.557727992004
"M2771",78.0210380627255
"M35552",190.333656108177
"M2350",61.227170472926
"M8294",137.713205788271
"M11397",67.0506379673738
"M15037",80.6155220604706
"M35697",84.7526224356933
"M14563",94.1574980052967
"M21797",108.981843979649
"M33714",54.9042220999889
"M1286",76.4617657502454
"M3544",59.6298566603403
"M21530",119.454630958866
"M22078",160.272802679692
"M4064",59.3017395600314
"M21798",160.268680182449
"M22334",113.704717705084
"M33576",226.762035759087
"M5748",57.7264138879127
"M34194",151.458916661563
"M2351",60.1288456425541
"M18902",78.1097662708995
"M24669",77.1940665019356
"M18802",203.939252383424
"M33577",174.574448030786
"M33578",218.368082044445
"M37372",95.4171764382276
"M12363",142.194994769953
"M16466",48.4553508125219
"M11938",48.0527697817545
"M22079",134.367480037528
"M14926",45.2206797074846
"M5465",51.3404269141439
"M3136",52.2019109507764
"M11514",46.9132189255964
"M2352",73.5901994237054
"M434",78.4284131248448
"M14927",30.4874174281771
"M2598",73.7480082781232
"M3004",54.5416662317082
"M31902",148.804825726409
"M42232",169.808906284198
"M435",104.146506630558
"M2046",49.2124138511957
"M9317",64.1114964411765
"M11822",100.067872779759
"M11939",58.3536255621408
"M11823",96.5276634420659
"M34346",147.100132316092
"M11940",66.2089380187361
"M18903",47.6441207673663
"M667",58.5899341261939
"M20460",136.063991682441
"M22890",70.4777652848955
"M5219",60.6238355910629
"M2599",103.780283533736
"M14928",51.8268800451396
"M21799",68.0509496645055
"M34195",79.4665516346031
"M436",105.295907618211
"M4065",64.7397317971313
"M31438",68.5735655870978
"M16229",39.1477868046154
"M1085",61.4755766563006
"M437",66.9949510744425
"M2202",82.3243441226817
"M35802",85.6874059258496
"M9001",204.135616275966
"M34458",148.359270372819
"M2203",51.1198979944506
"M10405",46.7718113700604
"M12364",149.509285517935
"M668",87.7765224893727
"M30721",90.7045857034185
"M12461",53.9076879959638
"M33579",84.1687618538529
"M26583",101.16878152451
"M31213",125.788729955589
"M2047",105.897335346222
"M2048",61.3429735417942
"M18262",44.7616859592184
"M8756",64.7309347639155
"M31439",72.4341544742669
"M27728",67.8433800998452
"M5560",74.2824446051097
"M30255",144.358094141925
"M21800",60.3422855605663
"M30722",83.1942157299633
"M21801",244.050656191473
"M12462",73.6775877092212
"M2150",24.5679113130433
"M8757",40.9835762761882
"M37621",233.286143810527
"M20997",232.084038226356
"M192",71.9797132793565
"M8758",52.2322370488125
"M31214",135.629693988182
"M3137",55.6990561031035
"M3138",58.3195442289943
"M8428",75.3627501050763
"M13514",140.886095818232
"M13868",79.7641916179427
"M4863",68.4808948300678
"M1086",82.9575488226258
"M8669",69.1552264437999
"M3139",68.2997883247002
"M18263",100.133374837542
"M2600",115.345796935988
"M30116",130.763677749037
"M1166",74.110728518626
"M12463",118.897613571001
"M20569",87.5482039917205
"M5920",53.4295688986527
"M30477",113.406882671779
"M25323",112.23315004572
"M8759",49.4556084953496
"M8760",55.4612467594089
