id	description	injection_order	batch	type	class	subclass	timepoint	biological_rep	technical_rep	column	polarity
x099_QC_23_pos	x099_QC_23	x099	1	QC	QC	23		QC	QC	RP	pos
x100_BAL_STAND_m02_rep1_pos	x100_BAL_STAND	x100	1	sample	BAL_STAND	STAND		m02	rep1	RP	pos
x101_NOD_STAND_m12_rep2_pos	x101_NOD_STAND	x101	1	sample	NOD_STAND	STAND		m12	rep2	RP	pos
x102_NOD_STAND_m05_rep4_pos	x102_NOD_STAND	x102	1	sample	NOD_STAND	STAND		m05	rep4	RP	pos
x103_NOD_OMEGA_m04_rep2_pos	x103_NOD_OMEGA	x103	1	sample	NOD_OMEGA	OMEGA		m04	rep2	RP	pos
x104_NOD_OMEGA_m10_rep5_pos	x104_NOD_OMEGA	x104	1	sample	NOD_OMEGA	OMEGA		m10	rep5	RP	pos
x105_BAL_STAND_m05_rep3_pos	x105_BAL_STAND	x105	1	sample	BAL_STAND	STAND		m05	rep3	RP	pos
x106_NOD_STAND_m04_rep3_pos	x106_NOD_STAND	x106	1	sample	NOD_STAND	STAND		m04	rep3	RP	pos
x108_QC_24_pos	x108_QC_24	x108	1	QC	QC	24		QC	QC	RP	pos
x109_QC_25_pos	x109_QC_25	x109	1	QC	QC	25		QC	QC	RP	pos
x110_NOD_OMEGA_m01_rep1_pos	x110_NOD_OMEGA	x110	1	sample	NOD_OMEGA	OMEGA		m01	rep1	RP	pos
x111_BAL_STAND_m03_rep1_pos	x111_BAL_STAND	x111	1	sample	BAL_STAND	STAND		m03	rep1	RP	pos
x112_NOD_STAND_m07_rep1_pos	x112_NOD_STAND	x112	1	sample	NOD_STAND	STAND		m07	rep1	RP	pos
x113_BAL_STAND_m04_rep2_pos	x113_BAL_STAND	x113	1	sample	BAL_STAND	STAND		m04	rep2	RP	pos
x114_NOD_STAND_m04_rep2_pos	x114_NOD_STAND	x114	1	sample	NOD_STAND	STAND		m04	rep2	RP	pos
x115_BAL_STAND_m05_rep4_pos	x115_BAL_STAND	x115	1	sample	BAL_STAND	STAND		m05	rep4	RP	pos
x116_NOD_OMEGA_m04_rep5_pos	x116_NOD_OMEGA	x116	1	sample	NOD_OMEGA	OMEGA		m04	rep5	RP	pos
x118_QC_26_pos	x118_QC_26	x118	1	QC	QC	26		QC	QC	RP	pos
x119_QC_27_pos	x119_QC_27	x119	1	QC	QC	27		QC	QC	RP	pos
x120_NOD_STAND_m07_rep3_pos	x120_NOD_STAND	x120	1	sample	NOD_STAND	STAND		m07	rep3	RP	pos
x121_NOD_OMEGA_m07_rep4_pos	x121_NOD_OMEGA	x121	1	sample	NOD_OMEGA	OMEGA		m07	rep4	RP	pos
x122_BAL_STAND_m03_rep5_pos	x122_BAL_STAND	x122	1	sample	BAL_STAND	STAND		m03	rep5	RP	pos
x123_BAL_STAND_m06_rep1_pos	x123_BAL_STAND	x123	1	sample	BAL_STAND	STAND		m06	rep1	RP	pos
x124_BAL_STAND_m01_rep2_pos	x124_BAL_STAND	x124	1	sample	BAL_STAND	STAND		m01	rep2	RP	pos
x125_BAL_STAND_m04_rep3_pos	x125_BAL_STAND	x125	1	sample	BAL_STAND	STAND		m04	rep3	RP	pos
x126_NOD_STAND_m12_rep1_pos	x126_NOD_STAND	x126	1	sample	NOD_STAND	STAND		m12	rep1	RP	pos
x128_QC_28_pos	x128_QC_28	x128	1	QC	QC	28		QC	QC	RP	pos
x129_QC_29_pos	x129_QC_29	x129	1	QC	QC	29		QC	QC	RP	pos
x130_NOD_OMEGA_m07_rep5_pos	x130_NOD_OMEGA	x130	1	sample	NOD_OMEGA	OMEGA		m07	rep5	RP	pos
x131_NOD_STAND_m07_rep4_pos	x131_NOD_STAND	x131	1	sample	NOD_STAND	STAND		m07	rep4	RP	pos
x132_NOD_STAND_m01_rep2_pos	x132_NOD_STAND	x132	1	sample	NOD_STAND	STAND		m01	rep2	RP	pos
x133_NOD_STAND_m05_rep1_pos	x133_NOD_STAND	x133	1	sample	NOD_STAND	STAND		m05	rep1	RP	pos
x134_BAL_STAND_m04_rep5_pos	x134_BAL_STAND	x134	1	sample	BAL_STAND	STAND		m04	rep5	RP	pos
x135_BAL_STAND_m01_rep5_pos	x135_BAL_STAND	x135	1	sample	BAL_STAND	STAND		m01	rep5	RP	pos
x136_QC_30_pos	x136_QC_30	x136	1	QC	QC	30		QC	QC	RP	pos
x137_QC_31_pos	x137_QC_31	x137	1	QC	QC	31		QC	QC	RP	pos
x138_QC_32_pos	x138_QC_32	x138	1	QC	QC	32		QC	QC	RP	pos
x141_QC_35_pos	x141_QC_35	x141	1	QC	QC	35		QC	QC	RP	pos
