"","PC1","PC2","PC3"
"DD_mealC_t7_1",0.392795002196096,-3.67081860505356,4.69034956085136
"MM_mealB_t0_1",-10.478314293847,5.20442551244324,2.44043710306329
"AA_mealA_t0_1",-4.23268302392133,-2.32501388520552,2.4213124695309
"AA_mealC_t1_1",0.95676277931858,-2.28490970983131,-0.187588436967042
"DD_mealA_t6_1",-0.0745019458495415,-4.63129152042948,5.43191710938657
"MM_mealC_t8_1",3.15032639089735,8.82549287429272,5.10232779573238
"DD_mealA_t1_1",-7.51233050997612,-0.169976178177671,2.0767450299935
"AA_mealC_t2_1",2.7791357656571,-3.1637936357308,-0.366427674228523
"DD_mealA_t5_1",3.89703274377627,-5.9525068498693,5.26749836152255
"DD_mealC_t0_1",-8.52691389368833,0.97181088496692,2.83765842425138
"MM_mealA_t8_1",2.6225286809535,8.5339559449025,5.62037652803614
"DD_mealB_t8_1",-0.276940408796676,-3.41151257069572,4.70174266037106
"MM_mealA_t1_1",-2.5992057205708,3.84346436600396,3.49931297436112
"AA_mealA_t1_1",-2.42770357800513,-1.67361613726052,0.460755134136373
"AA_mealB_t4_1",3.60263349320869,-3.58846602821016,0.520291622316171
"AA_mealB_t3_1",0.0271020100545969,-2.69660159022615,0.93606730019385
"DD_mealC_t5_1",3.70430728605317,-3.28429958535613,4.02079663362194
"AA_mealC_t0_1",-8.65152505558661,-1.77407813274451,1.28712011076413
"MM_mealB_t7_1",4.44563066130863,15.2213422726485,4.81835910992587
"MM_mealA_t2_1",0.170134708099959,3.84208639988802,3.43825562840689
"DD_mealC_t1_1",-7.21585298560005,1.81411484410672,0.636789705771855
"DD_mealA_t0_1",-13.9632318339917,0.454362024762759,4.80787461636336
"DD_mealA_t3_1",0.146542182640239,-1.65406919921849,3.44685829121685
"DD_mealC_t3_1",1.67987204322664,-1.20425384312838,1.9893421784006
"AA_mealA_t4_1",2.58962162347845,-2.17775221081296,0.332009364024729
"AA_mealB_t8_1",-4.74217767657101,-2.97011272323129,2.72002836929673
"AA_mealB_t1_1",-6.01236520894327,-2.2489199598403,-2.09646726735306
"AA_mealB_t5_1",-1.30743272258259,-4.21710913532921,2.27919554259733
"MM_mealC_t4_1",4.41396143372482,4.8475997705563,1.05001590831849
"MM_mealC_t2_1",0.992552984007215,6.40495728671719,0.44658225403397
"MM_mealA_t7_1",2.33393719814569,4.65753050951439,1.41168289066518
"DD_mealB_t2_1",0.688557631122627,-1.93844069918409,0.918024050231484
"MM_mealC_t7_1",2.40619678022382,4.51169581755458,2.32906507822194
"DD_mealB_t7_1",0.121841689688257,-3.46315305634715,3.71514883661628
"MM_mealC_t1_1",-2.25962533632831,6.49090904449002,-0.163689535747611
"DD_mealA_t4_1",0.725473507034009,-1.46287165330336,1.34585996385251
"MM_mealB_t5_1",3.1471207467238,5.48842967220659,0.193767115362384
"DD_mealB_t5_1",7.434151357974,-4.78561098067769,1.74336729906315
"AA_mealA_t7_1",-0.506195708452933,-4.86370542425455,1.96184767855835
"AA_mealA_t5_1",2.46661264377986,-2.68943129019077,-2.06404500579134
"MM_mealB_t4_1",3.69134450345974,5.11390447486315,-0.317273487831202
"MM_mealB_t6_1",5.588196564493,8.12663204489667,1.40789743874098
"AA_mealB_t7_1",-4.66618826782847,-2.79417085288694,0.462313602715075
"MM_mealC_t3_1",5.7404839531384,4.38432655990958,-1.64048214698164
"MM_mealC_t5_1",4.70816003410549,5.25986855409397,-1.01607571566594
"MM_mealA_t3_1",5.07562280913585,2.91976552844496,-1.15406548155367
"DD_mealB_t4_1",2.11437214990797,-1.51117659532341,-0.214361340239338
"AA_mealC_t7_1",-0.381730170579373,-4.90339398743443,0.741537780876413
"AA_mealC_t5_1",4.17005886404132,-4.62185872046553,-3.217528385042
"MM_mealA_t5_1",2.65112411851171,4.57244257865755,-2.27182322495392
"MM_mealB_t3_1",3.68708317028542,5.39845815634387,-1.22688625151656
"DD_mealB_t0_1",-13.4974336225325,-0.704562087427924,-1.62776045977738
"MM_mealC_t6_1",4.65481903582361,5.00788633048266,-0.916597809822982
"AA_mealA_t6_1",1.00431398660553,-3.71972240256684,-1.04453131289914
"DD_mealC_t4_1",8.26364224211066,-3.07357534970199,-3.51214061325069
"AA_mealB_t6_1",1.02077105840596,-4.33570593048054,1.22252961221973
"DD_mealA_t2_1",0.86299251606387,-2.26509246595228,0.113662136967323
"DD_mealB_t3_1",4.48470647474523,-1.83165631655332,-1.80393362628768
"AA_mealA_t8_1",2.77567216280111,-4.65310493546862,-0.86385607769978
"AA_mealC_t4_1",5.03754073794655,-4.45370588056748,-5.283086340437
"AA_mealC_t8_1",-1.40137509280526,-5.38585086188218,0.247682092827283
"MM_mealA_t6_1",4.25840378686017,3.95269522019201,-2.36862492699803
"AA_mealA_t3_1",2.55291728981042,-2.87585420536269,-2.60610961392607
"AA_mealC_t3_1",7.64907342964959,-5.01217090426755,-5.95126822191879
"DD_mealA_t8_1",2.34610703935938,-4.12985679376028,1.90549912339989
"AA_mealB_t0_1",-11.6064040963674,-3.34629870718329,-2.87951389249258
"MM_mealB_t2_1",3.80080327183011,4.59005466097128,0.318447594825127
"MM_mealC_t0_1",-7.38347321548194,7.34586003085626,0.793031811689928
"MM_mealA_t4_1",1.70288631090296,3.85850478764565,-1.43717833839284
"MM_mealB_t8_1",3.29781205175501,15.0660190183964,1.55580395473951
"DD_mealA_t7_1",3.43050794079593,-5.01339390797109,2.80748688798501
"AA_mealB_t2_1",1.61025446853238,-3.20637259452971,-2.14364162430006
"AA_mealA_t2_1",2.9405092249382,-2.64162769620244,-1.16506159752923
"MM_mealA_t0_1",-9.22341882886857,4.94724069825728,0.789779458703156
"DD_mealB_t1_1",-8.56318639684324,0.682979863743552,-2.10063681763096
"MM_mealB_t1_1",-1.82702204996439,5.5415890743857,0.249368313420079
"AA_mealC_t6_1",5.07856730148133,-5.87729407838194,-1.11293925706286
"DD_mealB_t6_1",0.633674417073336,-3.37285116680952,2.60036750675945
"DD_mealC_t8_1",1.46549217871636,-3.32811893162623,1.63981995973461
"DD_mealC_t2_1",-0.16158671898982,-1.76079815488607,-2.75265940460109
"DD_mealC_t6_1",3.04739959309418,-4.34266170941835,2.38058518673809
"DD_mealC_t6_2",3.02399116420431,-4.18055168038848,2.36297695875174
"MM_mealC_t5_2",4.41229515176489,4.09100722638651,-0.562446851845468
"DD_mealC_t5_2",5.55807133022386,-3.97608534731443,0.307673732014456
"DD_mealC_t0_2",-7.91185637148599,0.623225859209152,0.672623007160752
"MM_mealC_t6_2",4.14255801473828,4.48393734260825,0.121824505493693
"AA_mealA_t0_2",-3.89666720576378,-2.08949519191039,-0.583214075560102
"AA_mealC_t1_2",1.33287175084856,-2.75635185731671,-2.52748293466493
"DD_mealC_t2_2",-0.571076736689957,-1.6422158874185,-0.819362942533975
"DD_mealB_t3_2",3.68996910177425,-2.05436662498943,1.07085690670264
"MM_mealC_t8_2",3.87883550768557,8.30376070966732,2.88198916591033
"DD_mealC_t4_2",7.86992739282561,-3.09392534268484,-3.53339346166652
"DD_mealC_t8_2",1.10431783587834,-3.28465548355978,2.70119704634102
"MM_mealA_t7_2",2.61505557482391,4.60598617134715,0.786022303181353
"AA_mealC_t5_2",3.65781397899707,-4.82582234097947,-1.3221641105249
"AA_mealB_t5_2",0.325768801444351,-4.48544783624372,0.959999065371623
"MM_mealA_t6_2",3.33813457668004,3.65205924397698,0.156229712723722
"DD_mealA_t6_2",1.06824192111197,-4.13864095343038,3.64716177785047
"AA_mealA_t3_2",1.82478042725816,-2.90942038721935,-1.3263053488363
"MM_mealB_t2_2",2.83799972819501,4.51731507786696,1.28439292240535
"DD_mealC_t7_2",-0.182545602781328,-3.1971474669862,2.39463501812847
"MM_mealB_t6_2",4.80392174984608,8.40529653814956,1.48577640047393
"DD_mealB_t8_2",0.871462858092695,-2.62145971349366,1.91727294040636
"AA_mealB_t7_2",-4.72501565363921,-3.14391019921313,0.225292933265784
"MM_mealA_t0_2",-9.62691167995486,5.15543161634444,1.12624984239232
"DD_mealA_t8_2",2.12763982762524,-4.3473993242482,1.86042199965717
"AA_mealA_t8_2",1.50381717786083,-4.57458411999344,1.29433658782261
"DD_mealB_t1_2",-9.26132558023267,0.775712812060043,-2.08576039578648
"AA_mealB_t8_2",-4.51802625393376,-3.21538677098733,0.495093993111783
"DD_mealB_t2_2",1.00750271722835,-2.16100556574136,0.194828834197964
"DD_mealC_t1_2",-6.77747646530861,1.23795003345968,-1.63365486808863
"DD_mealA_t7_2",2.47849938271206,-4.32890958035564,1.687186023815
"DD_mealA_t0_2",-12.4089678932327,0.0476845047453984,1.75330234879753
"AA_mealC_t6_2",4.04017255597828,-4.8945000466092,-0.884197466715579
"MM_mealA_t5_2",2.21378930006667,3.465328196585,-1.8654789019381
"AA_mealC_t3_2",5.98943599069878,-4.41855512866473,-5.32601703254336
"DD_mealA_t1_2",-6.95657844600796,0.218147405795701,-2.15626305481892
"MM_mealA_t4_2",1.06648194456404,3.7020863343681,-2.30651839807578
"MM_mealC_t1_2",-2.69889941642388,5.79123958699522,-1.96148043403303
"DD_mealA_t2_2",0.24426096560564,-1.87904546342006,-0.743360021068233
"MM_mealB_t3_2",2.19796841917699,4.66723903237614,-2.11343657390994
"AA_mealA_t7_2",-1.89574360274534,-4.72122560630453,-0.88992018895766
"MM_mealB_t4_2",2.90286346595915,4.59436000090971,-2.28100522717128
"AA_mealB_t1_2",-6.30148916005772,-2.21894191607357,-5.89972189877596
"MM_mealB_t0_2",-12.463339578812,6.19177635774976,-3.92879556293044
"DD_mealB_t4_2",-0.31179938826508,-1.23797453745635,-1.86375229825253
"MM_mealA_t3_2",2.75876472317438,2.24681149167334,-2.51214838654187
"AA_mealC_t4_2",3.41661455106515,-4.02930169942581,-6.92206183009571
"AA_mealB_t6_2",-0.403898414058058,-4.47693251690167,-0.676784713453736
"MM_mealB_t1_2",-4.06897864422041,5.52173695852393,-3.26892238187123
"DD_mealB_t6_2",-1.21469618200993,-3.11263255125578,0.337251220093238
"MM_mealC_t0_2",-9.63995953704046,7.04248869501137,-2.58501259263964
"AA_mealC_t7_2",-2.46067823164591,-4.48825568263639,-2.98824224899513
"DD_mealB_t7_2",-0.43214714378693,-3.28702416890696,-1.66208662241734
"MM_mealA_t1_2",-3.5646731109307,5.26177710780378,-3.0713180859407
"AA_mealA_t6_2",-0.936127442896514,-3.86267553773973,-3.71479201765237
"MM_mealC_t2_2",-0.543836633346076,5.65707743605046,-6.66970274556604
"AA_mealB_t3_2",0.94113369326852,-3.76981095145889,-9.91800036174341
"MM_mealA_t8_2",1.65497629627726,8.94646360059551,-3.00920156895716
"DD_mealA_t4_2",0.93423869183621,-2.49926657746023,-4.31732846822714
"AA_mealA_t4_2",3.40125007494688,-2.64900644340142,-8.66980421694166
"AA_mealC_t0_2",-12.134169365261,-2.21902721004136,-7.84766730607611
"AA_mealC_t8_2",-4.69102470361449,-4.42356760952433,-3.43960254870695
"DD_mealA_t3_2",-0.0586256961919507,-1.98064121375515,-4.98018995948821
"AA_mealC_t2_2",5.07539168651817,-4.71238911854317,-10.0058180637374
"AA_mealB_t0_2",-17.8595251207156,-3.40672389738947,-11.0692206504218
"MM_mealC_t4_2",4.02788191422526,5.25645509227961,-8.02516530890184
"AA_mealA_t1_2",-6.26821103283146,-0.66868785201195,-13.9984955670914
"MM_mealC_t3_2",5.65170196690277,4.0603617463903,-9.51490114171639
"MM_mealB_t8_2",1.56319566207588,15.6095852830649,-6.28040160787572
"MM_mealA_t2_2",-0.325420478599678,6.56136036399586,-9.86052198582123
"DD_mealB_t0_2",-20.5172568692114,0.0809017890610421,-9.08317695115531
"MM_mealB_t5_2",2.49875211875061,9.07697013466337,-13.957684899473
"DD_mealA_t5_2",10.9361918174921,-7.04563905129022,-11.4703148200698
"AA_mealB_t2_2",-0.387191483164583,-4.50631218989575,-13.2960210314935
"AA_mealA_t2_2",4.20934099214335,-3.19867085829317,-12.6311022724528
"MM_mealB_t7_2",4.52514232714944,17.4595531770319,-14.5587554611805
"DD_mealC_t3_2",3.57524377230828,-1.08210501767412,-11.0752324705271
"AA_mealB_t4_2",5.29498975092746,-4.36628355569397,0.517096297345248
"DD_mealB_t5_2",8.36710407464306,-6.29551981064542,2.79340600883427
"MM_mealC_t7_2",3.81963871451632,4.06172176529591,4.33162718423179
"AA_mealA_t5_2",1.46051313520653,-2.21633902313608,1.87884347680301
"AA_mealC_t7_3",-3.80645135912802,-5.11335273924478,3.51934804690183
"DD_mealB_t0_3",-14.2762996084942,-1.80457044624661,2.50130993404698
"MM_mealC_t4_3",3.14144913581675,5.17001660224148,3.35182161859555
"DD_mealA_t7_3",0.978832995014061,-4.71809521616222,6.35305421704343
"MM_mealC_t0_3",-5.23977449809756,6.90258435068657,5.07203044206325
