"","PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8","PC9","PC10","PC11","PC12","PC13","PC14","PC15","PC16","PC17","PC18","PC19","PC20","PC21","PC22","PC23","PC24","PC25","PC26","PC27","PC28","PC29","PC30","PC31","PC32","PC33","PC34","PC35","PC36","PC37","PC38","PC39","PC40","PC41","PC42","PC43","PC44","PC45","PC46","PC47","PC48","PC49","PC50","PC51","PC52","PC53","PC54","PC55","PC56","PC57","PC58","PC59","PC60","PC61","PC62","PC63","PC64","PC65","PC66","PC67","PC68","PC69","PC70","PC71","PC72","PC73","PC74","PC75","PC76","PC77","PC78","PC79","PC80","PC81","PC82","PC83","PC84","PC85","PC86","PC87","PC88","PC89","PC90","PC91","PC92","PC93","PC94","PC95","PC96","PC97","PC98","PC99","PC100","PC101","PC102","PC103","PC104","PC105","PC106","PC107","PC108","PC109","PC110","PC111","PC112","PC113","PC114","PC115","PC116","PC117","PC118"
"x010_BAL_STAND_m02_rep5_pos",-202.81159750131,255.729205122015,-179.075809116422,56.267194446049,-66.8111843421893,167.856774480138,-37.5661781713315,-66.3429968293939,92.9590963399375,-2.60909858763905,8.05946716588938,-33.8801958341946,16.2726114688805,-36.6380944181257,40.6641402923137,-7.74343097166251,0.424802465807279,-27.6459703842067,-5.24735020081291,9.03681150931719,-7.9568354743219,-18.8662331238241,5.68899829826139,3.21922906969336,-10.3158028699863,3.38228129611751,-2.46210251374897,2.32861354685374,-3.75320899695557,6.33393677077155,-0.268742808924017,2.92943630213415,-4.2589774076443,0.173319078368242,-1.04722784302371,1.76568808563818,-1.94948421455873,-1.26881510707883,0.644536043267382,-0.396128575519825,-0.37915678100695,-0.347151705491954,-0.242068404168738,0.602231598860562,0.790576970204091,0.0448122049698164,-1.03594282085359,-2.1162529167419,0.663551723748904,0.755502749769812,0.640003208899037,0.936239559923679,0.82845753048662,-1.35239078749662,-0.0884402828819706,-0.52780689505839,-0.827881894029995,-1.84614496416622,1.82064946639397,0.457582428804698,1.10413746412249,0.715464640195455,0.82994907294376,-1.16199767659356,-0.25877560644519,-0.117204498516963,-1.06789399147379,0.153860977804574,0.871346477729848,0.257594553947343,0.543304396899266,0.215321181168732,0.638178105174443,-0.0986386182055133,-0.474501548603088,-0.597465458727491,-0.154274570205223,-0.727716899498747,0.052416628250875,0.477121861837521,0.387699287622302,0.00783073559839986,-0.364775675432842,-0.0633174148272601,-0.185223937031579,-0.01609726874577,-0.18854455395774,0.379983782371115,0.00586314669727472,0.372754678471663,0.151289094734085,-0.109655636865685,-0.148510468366914,-0.151677131793078,-0.137137364744354,-0.198304704456717,0.0377299519085666,0.127239317964083,0.188693391576988,0.112292278116338,0.182384382781394,0.0835276079873821,-0.0341889237113593,-0.193486989761993,-0.00546241186090776,-0.117620911791198,0.0869432740972798,0.00199388392084478,0.0823574265555747,0.159661221246432,-0.0410885967996148,-0.0420629017427626,0.114788214534132,-0.0421560995696158,0.0327771574876998,-0.103882237358758,0.0450778371872957,1.82909243306995e-14
"x011_NOD_STAND_m12_rep5_pos",-194.975710122634,110.671451261783,28.9536723129194,-137.133315603361,98.9195754354296,91.4956269919002,15.4189185556352,46.947476408714,-38.9785117242566,-3.50393458404114,34.0638716401455,-38.4146670676378,-28.2099296597951,5.03954984830637,6.99600540403887,6.51897248048316,17.8767990282379,6.25586708455278,-6.82478050684393,16.1462956857362,-14.5495422820124,36.175041531968,-36.5078299019478,-46.5078577526223,-7.16938257138688,7.97355398420406,39.8240838418707,15.7536566357703,-0.241556015628598,9.64443200772967,8.32795875480191,4.1526122734868,4.15040782394306,6.34184316608198,-3.60331802121114,-1.18055277120402,0.389318053199921,-0.128566266083453,0.533589269593373,-1.49716068134699,4.51365901293294,-0.00278230688111836,-0.728988031035848,0.193318045678669,-0.817669472711287,0.0673191100665075,0.0888096606759406,0.695188463847663,0.778180929022533,1.4525517856004,-0.582971953981116,0.565154209344057,0.888647152209479,-1.80088532974439,-0.296808093320339,0.123452770359331,0.379728237823682,0.962949848780501,1.37808498001322,-0.414260051015925,-1.421612101415,-0.909046929130775,0.455726797562574,0.317455393274616,2.24650919442345,-0.184687473695562,0.900807468038658,-1.26087390662967,-1.43006949561595,0.397336743153834,-0.340740575032199,-0.440965042644836,0.254585730366826,-0.915953910989873,-0.708215665578288,0.0329818960626553,-0.00963846940242996,-0.20686430383965,-0.447863802604895,-0.471875500241374,-0.753169106758194,-1.25599980117241,0.278014856217075,-0.630660634437258,0.240403973142608,0.481960002225649,0.0550700257474086,0.755732992055415,-0.283026998824868,-0.0532185743179308,0.0605913304794363,-0.362247995519877,0.247014413770233,-0.161643409328427,0.206673754332717,0.363627953066276,0.000235352286401952,-0.0195322995932524,-0.0309054673370771,0.296924280770606,0.300000257763583,-0.0472342191956718,-0.272522409790388,-0.129539099865126,0.151725301931029,-0.143426435908516,0.183458839619594,-0.103448175133552,0.192946410153564,0.117737774935351,-0.015384231058372,0.00110068691662077,-0.0762708706817137,-0.22724284688298,-0.375012176215366,0.152072179590423,-0.0207921317548923,-1.06720188242093e-13
"x012_BAL_STAND_m04_rep4_pos",-185.595552067376,8.1616938620583,46.0741511967206,-44.3734166905009,-51.5989052794972,90.4494041982061,-13.1855476061818,31.9287984891581,-36.4322922913797,-42.7941175370223,-13.1766138251206,59.1829633796069,34.8036537283858,-6.9947843586983,-38.4685681692721,35.003396988978,2.85617670539211,-6.44965332200944,22.0000378738087,1.77356636287338,2.85644604104516,-24.4365564985144,-2.58605395764315,0.732274560917658,-17.3739708412015,-19.1106535610479,-1.65187924284268,17.4225560528414,-40.7710940724039,-23.248663137627,-33.8407067008866,13.7336894718834,15.1399861700048,-3.01908852963212,-6.44336302829172,-10.2545939502982,14.2716232096763,2.97418793485033,-1.11838941398643,1.82304179081654,-1.33155609956185,-2.11263672939227,1.0521310981957,-0.0614395900695504,1.59435452238411,0.608751841502346,-2.57259560454361,-0.91973401737456,0.78529111332576,-1.42161380350812,0.163840308361065,-2.84937146320574,1.66989839428609,-1.11038729457267,0.806103086846889,-0.861071420446743,-1.03370434955013,-0.544993596854034,-1.27549354959893,1.24571053412272,0.560509407814507,-0.584868910969814,-0.510489288984439,0.510864642305288,0.401118852768917,-0.0690777766773636,0.855832710440981,-0.291247396976663,1.48606125728092,0.609763985681834,0.714695691151316,0.654178375139441,-0.877496862744962,-0.121058067957968,0.739007392716605,1.16435027552072,1.12927418403353,0.424589117140375,-0.120124943569175,0.611243492159488,0.331906346174266,0.230219498920656,-0.119244814677312,-0.724072979311523,0.0298936774461097,0.45215645485529,-0.502298750799577,-0.629243752546608,-0.795225071212401,0.135564925396484,0.118248428418633,-0.38708532715176,-0.359424384022385,0.351284207703135,-0.10556552523576,0.0302718450478068,0.604017436603468,-0.0975384640808299,0.111436064756483,-0.114592493000429,0.134565574767702,-0.140329020253518,0.149117228789142,-0.157662809818177,0.19887011207201,-0.145030844577539,-0.239066109046538,-0.375150155875142,0.229617701471655,-0.410350473841675,-0.375880626998958,-0.0986614606517219,0.429945443981309,0.250734724636127,0.21912915144359,0.0845692123895418,-0.147447730170951,1.74919106976645e-13
"x013_BAL_STAND_m06_rep3_pos",-126.954556462451,-19.9748665102114,43.0851648938146,-46.1128256986731,-55.9033713562991,75.6945789947698,-12.0938914439116,24.4227424832783,-13.139237724453,-25.161877207215,5.19455757963912,45.196051518008,-15.9551886395104,41.5424021583434,37.3442104246958,-10.761293838889,-28.5271067885024,52.6791695521824,-7.34892764895869,41.1760002250138,29.0928943311426,-27.2159645721645,9.92017332894195,24.3158788885903,10.7195293538025,-4.33248293200509,2.36293717546265,17.5783273184356,12.7654672572488,-3.87323444624771,34.8754521414845,15.0352672180192,-14.9511873486173,7.04702582062107,18.2646718597209,17.8006455602806,10.8278519110245,-0.671130172413807,-3.71763653825337,1.36213084395938,3.96679500033483,-0.794778036282224,-2.47130295364337,0.27834398349732,-0.800827872324024,4.22258392588388,1.16030321512248,3.19740624561011,1.13480721382463,0.987777933019018,-1.2259815118324,2.83184397333296,0.845299379625877,3.26781998563902,-3.75406224594809,0.0216013653923501,-0.4029408260198,-0.625701831254726,-0.795617422685634,1.05587430646097,-1.84407411561023,-0.415478920007754,-1.04651032451122,-0.955955499696335,0.322890631092441,0.589962040958989,0.645967280376915,0.574539577094527,-0.984102244259788,0.0899615468175473,0.219316024978401,1.27426472747364,0.742351142634762,1.37366029802045,0.0570003341414987,0.0994438113603393,-1.4482236577981,0.605215844059188,-0.860736084322207,1.09308271865512,0.148401740129116,-0.46183138856822,1.09315950033158,-0.363603252036041,-0.290768348362819,-0.846264562296007,-0.43860786767351,0.65023034455189,-0.0896842382395721,0.151622357115926,0.360805895645737,0.088739698406554,0.475797471690279,0.192882243517212,-0.355615345333145,0.493611795004251,0.044530183240462,-0.105730569204688,0.0846745572867449,0.0381463078002886,-0.0206165677274897,0.0247851253003617,0.157566421794282,-0.202489874655664,-0.0510912639645683,0.203780369059371,0.302342430315758,0.123807899888706,0.112162158074632,0.421671841679729,0.0193951185416624,-0.264587734750931,-0.245513832074468,-0.109610451002955,-0.396162740105686,-0.128344528104562,-0.140346928474213,6.96040447500934e-14
"x014_NOD_OMEGA_m09_rep4_pos",10.6055312375011,79.7897161961829,51.6962901366681,-98.5969106895894,-16.1990858463134,-25.8799652560912,-142.448582070679,20.3503381721062,3.06797427418386,12.5163398331655,-10.5577146966219,-4.07434763044181,55.9289564045565,13.1618395169566,7.41810477442934,-19.392183116983,-12.4914827121426,30.3830759461406,-6.38218577376181,-17.3877996205589,-14.5702913736255,24.7011743509163,20.3435509167074,-6.2168925046117,8.0804556891854,3.11180297874876,-10.807100143955,-28.0641659303965,-39.8834203028395,13.0970454480896,7.59102768279839,5.24891990517944,-7.87345735063772,22.2800978816821,0.733253250716885,7.54297320480831,-7.43256096275259,-1.08098776738754,6.50148508929576,-4.5516630574816,-6.06211838286371,-6.12333947363517,5.62266089724836,-4.52705539701642,-8.25592564705672,-2.66874389295405,-4.64213477715347,4.71427630075737,1.27078683548505,-2.32815137623236,4.12181218259288,3.37945157417887,3.92965987789538,2.07515936730422,12.1484002020903,9.68155493849709,10.8890088405507,2.25801488752082,0.58060238102564,-2.89731320659789,1.26737861201386,-5.39598412094236,-0.0506179660796454,0.258739803233381,0.716390939711165,-2.11837022001495,0.877924059711894,0.383724754816778,1.18615978824607,-0.897995910854418,0.91649710579828,0.733666556080758,-0.859462894351171,1.83466618053089,2.15645887063547,1.44832535352795,-1.01977391026464,0.525873275224838,-0.626174367317856,-1.33997915890595,0.755066336453304,0.523969380715638,-0.694909545588837,0.643821896091364,0.781744524411434,-0.902081719201457,1.1192450345613,2.77058233160046,0.246310752778622,0.622008343818494,-0.989356670042884,-0.259716518474613,0.698880037209626,0.874171311585879,-0.247809752225431,-0.601689952779544,0.0233948664248057,0.194574989230335,0.41196150408449,-0.671109280199948,-0.144708492892494,-0.639793169002535,0.21887798288036,0.529974444157573,-0.219555744875221,0.126293429238748,0.0327216707995965,-0.00960898461148334,-0.103570691385764,-0.0913545175688625,0.194568401062102,-0.20982072768056,-0.193774903630225,0.0804081384793577,0.218800381404826,0.43912148709038,-0.0483605624829975,3.87537224533219e-14
"x015_NOD_STAND_m12_rep4_pos",-160.992924925411,74.5133114227727,18.7142424341708,-116.006265589548,98.5164440897001,50.751402263154,18.1714903625095,28.9295792853746,-28.7272025962049,5.65294608295101,27.3284293447758,-35.9835786182647,-20.2304971862548,8.91020424205629,0.43005445219225,8.78218469685784,5.08879539969834,-1.96016413711586,-9.00912687998291,1.30199146903783,3.89892349243562,-2.21914831892009,-0.828225643883846,6.10326677587438,4.67506943103077,6.47463622367196,-73.0230832097117,-24.3985392523209,20.1053742578242,-23.2926748976654,-17.7076011949803,-5.77418621601541,-9.65094824817454,-11.1717478174719,4.46362245538855,5.40859592562413,0.272210338546056,-0.162019941793839,-2.2763467492069,4.143662675261,-7.85363349739917,-0.867500041558693,-0.180487008608947,-1.78339963617745,0.27133493645265,2.14963074445951,-1.16139212761406,-0.590797791567751,1.03574855551333,-2.60907318075291,0.980628137011723,-0.581678463449496,-1.44777210587251,2.29265057236023,0.106001417240163,1.72529390797896,-0.247174159529195,-2.61049772698457,-2.2965440665118,1.04048435293799,1.24353668084788,1.53356349567633,-0.691463757778369,0.0131995127095507,-1.88111028621802,-0.320579073066544,-0.74043135239244,-0.0608666233464456,1.81888372854493,-0.561290105906595,-0.378179835172053,0.107353586875625,0.307089756709542,-0.646442850582561,-0.494750811710317,0.203601131762089,0.0532793872163784,0.104987547860144,0.788795928007189,-0.212595772527004,-0.30455459702883,-0.131000367660909,-0.385376484624579,-0.559732721334473,-0.142275886081726,0.302000903276346,0.0896048101007876,0.181295429187552,0.866633004499342,0.909633450847138,0.480301409766456,0.913245716908033,-0.803949656058039,-0.679115148330365,0.0471995589217144,0.237077508072499,-0.118003967916844,0.123393180790298,-0.249936031025816,0.0745234393845643,-0.298900640638245,-0.116062674084303,-0.0671877721336483,-0.0898015060710301,-0.234331196148968,-0.14491485983652,-0.261760699154028,-0.0752046337431108,-0.338057563805373,0.425725220781552,0.0414737411725393,0.359243809050632,-0.119522817250936,-0.0294394038874315,0.162636350830334,-0.200039310448562,0.193928597820668,1.07344688693445e-14
"x016_BAL_STAND_m04_rep1_pos",-153.161066850565,-11.5994887258858,40.5219404463968,-24.8901947855087,-45.6497210001634,62.6382916825943,-8.5669613839793,19.5798630966324,-24.8248623684128,-24.0307332971378,-14.9207598870252,39.9227838350632,23.5533922011496,-3.03013563567445,-36.2346136289379,26.0447146866948,-4.02875718012201,-15.6776858273308,16.0331062609276,-8.59686183974861,4.13400145026846,-11.3860715697902,-0.0812519144548761,1.26871619542762,-9.49930153306385,5.05285478489858,9.08525185618713,-18.904867289371,13.8182426643319,21.6039351820631,21.2995072834839,-41.5814727081553,-15.3737099011623,-19.6919376693971,3.39113278645357,-7.9946856897091,-43.4708821928389,9.50120518761078,3.21203572011665,-0.260919992421218,-1.34667965533239,1.73618454053107,-9.95475728147716,-6.59823121627554,1.31848999603791,-2.80276132792518,-2.19691874977,-0.23739723998014,3.39584875107318,2.15266039810687,-0.540150229888485,4.87593890372806,-1.75206520909802,6.01346694068229,-0.235089973898833,-2.90695265650207,1.70933386199648,-2.47767182887862,2.30963161569258,1.90381610968941,-3.24127809536821,0.74209284379806,-1.503022636235,0.666579997846885,-1.18676725164572,-0.617995141446607,2.20416266925152,-0.527646332124998,-0.683459308509883,-0.38980887940878,0.256510801926746,1.76530292346465,0.65522711706185,2.73545768216294,-0.16501404727549,0.628362619240157,0.284699993504256,-1.13503965954578,1.15787699289976,-0.675609202918699,0.924613447103493,-0.400624069287102,0.13178080374251,-1.16658980143989,-0.0651489926823376,-0.00289062343196081,0.474079358008193,-0.262828276252715,-0.356618499088845,0.171255429702569,-0.11564956599194,0.0229003099452513,-0.0270721858245184,0.093158002965964,-0.384372218148714,-0.799664424075416,-0.524461657707534,-0.14532312528084,-0.0958733658259441,-0.146718717272135,-0.111109219125967,0.21898331672439,0.0518992919159855,-0.0533401518616986,-0.282902344865725,0.321691677910571,0.0392832582501278,0.251078556020141,-0.260171613419931,0.225372714657669,0.694613887760645,0.0331895679534753,-0.16763651388661,-0.221748480476259,0.0648578056556106,0.351989029746431,0.152351015441164,7.13609726865627e-13
"x018_QC_06_pos",14.9356006982379,4.90138063629924,-5.20896015624591,-5.50931812068663,-6.24503804449484,40.1813128865177,-5.76462586018479,-4.25764759075282,-22.51472367897,-5.1318251410493,-9.27923799954174,10.0269862068225,-1.55824561627347,4.02818339650194,-5.6412533198179,-11.1816617880105,-14.3836428972536,5.72881131795124,-32.4815596079867,-12.3876534378413,-9.07853807323976,5.26282875771135,2.31743487618374,13.3989511830067,-17.2085058135363,5.41211285342649,0.543665041969047,-5.75517947112741,1.21939634369467,-2.27426582533284,7.92091390977487,-9.62913646147427,8.72978819433746,-0.954505643664206,0.0396884844241662,-1.84669698947534,6.98457374440728,-2.26584904862486,-2.75448429596787,-2.34176121444082,6.36701120741262,0.885478340833193,-1.76052972835303,0.641939002468473,11.6297965287688,-6.32334816971989,12.6401078046806,-8.93761078756923,-7.96149845858032,3.4764267711159,2.87865595957449,-14.6852170870329,-3.03947476280795,-19.3973698589364,4.9101000081955,-7.03959885107254,6.73751011944009,15.3796442761512,-0.272370899219368,-4.2006119027031,2.08887828841593,-3.06308352007941,10.7574526679531,-1.88336504112387,-2.16827697168606,0.532814630033908,-5.24996694393853,1.13521337517945,0.615060096063584,-1.52490963503875,-9.08721695164762,-9.17029325696227,7.13106413655699,-10.3030729138381,-9.86097152652559,5.98635753805925,-2.22166295619304,15.5409066886625,31.6601357175795,-5.37052748592615,-4.07841688482476,4.1863893687981,-6.41080174996383,3.12638989878109,1.20615945741221,-5.87450625528206,1.50121678958172,-2.2148530753465,3.53996406010421,-5.44838227669302,-3.61692260584615,2.7241685224621,3.07023744646908,-3.37040328309794,-2.79522645891145,-8.17763177371843,-1.1047436756759,-0.263691763542245,-0.494164586846752,-0.19062218305168,-3.50952452902902,-2.00074929100419,3.0614626672117,2.7930802634459,-0.759975057584838,-2.50569952628938,0.641491773276972,0.762167689245528,0.785960551364906,0.639592351992016,-1.26947227025158,0.575133849498261,-0.999723583338987,1.00050636713563,0.654897816390254,-0.772444585056442,-0.0380200239134829,2.5052876440057e-14
"x019_QC_07_pos",19.3549202649034,-3.06963962474023,-8.54048275160917,-9.57001106122532,-6.78396110736879,35.7175872182203,-9.23564541967487,-4.09423346951692,-18.3526025713625,-5.18641225479111,-12.00245517837,8.10222715597954,-6.56023603521927,7.17882488926821,-3.870564802533,-8.02404090907572,-2.20152617416701,5.2137918449166,-26.2034281344096,-8.02907806054589,-10.4576748340217,10.684868545971,5.01137284631576,18.9949786278948,-16.6353950889991,8.95407216304181,1.19172315230144,-6.41566888800736,0.779102512526239,-2.00569615582861,0.0493394349427737,-11.3008004641926,3.19885183209476,-1.70832449602554,4.86606667082887,-3.34058648112624,5.77917213694646,-3.87904175232733,-1.50974826430014,1.43261790926585,8.87319231930759,4.8075171986127,2.39285431334681,2.84112487676078,10.5212790690601,-2.23332716304565,9.70878173941306,-7.08034755121508,-9.52490108890477,-0.82961452802204,5.52320311096873,-8.16501789144803,-0.112198566320669,-16.0995176387142,-0.845277288241576,-3.17885431002218,3.12070924836978,8.62287807009555,10.856928140045,-5.58619445354125,4.38210437935735,-14.2864298609049,1.11643891660266,-4.34965889103676,-3.49561352572008,-5.13612627635855,0.726604875273309,0.142160404983936,-5.6527539965668,-2.19782862187636,-2.45054614562997,4.30705122565463,-3.70974129175799,-9.81366528315688,4.26896070216326,-6.20791483607444,8.09086960143877,-18.0530569589824,-35.1488596648182,1.57693926772257,0.331749590809197,-7.15119575051341,4.32169055234733,6.16787322318972,0.793022018112177,7.54663525961199,4.15595520106803,-7.75533316715029,-1.10869814027184,-10.0684675751885,-2.0683373123492,2.53959924503512,0.0416499967638352,-0.960472447307937,4.91978139165765,-0.273379763233865,2.94269481824256,-0.227669755847882,-2.72197277817257,-1.21212586637586,-2.05545815080872,5.95575900478813,-3.78166351920768,2.95502042591543,2.15428789531319,-1.33629081536788,-0.338027328552924,1.08457358602189,0.0538552124454419,-0.663995438828172,0.162838597919936,-0.611448159210365,-0.592153593215777,1.26338826845192,0.143995548654961,-0.0673530016951231,0.639267773356971,5.18057818865714e-14
"x020_NOD_OMEGA_m09_rep1_pos",36.9452412384605,39.3087582372376,29.2964091673839,-79.4237315602352,-8.81713572824048,-38.0822218572799,-118.652597562232,10.319451850938,11.0893211653589,13.6935744716284,-11.3806069550621,-12.7653556887631,37.4960263896028,10.5706623387644,4.70039715039659,-5.97814929904971,1.09732752748229,9.50359621694563,6.93631032614935,-4.19611645598714,-1.97059386330861,6.63062376647097,4.48483262645728,2.71549815986267,1.5110485897278,4.28567352107457,2.0842775918977,1.61610129101889,10.5029279301068,4.2770859780371,-3.84150331230372,2.13892956917346,9.35850667417538,-7.64286998109029,-0.254793344268438,-6.68266016181094,3.62368229371306,5.57222693018388,-4.21429232573115,2.22154323772486,3.70733065408005,4.3557341461257,-1.188612198286,7.42541880851004,4.23391301662449,2.32097332036698,7.76839512351955,-7.4885381971609,1.34792406161696,3.52075032431725,-4.87987546507447,-3.02347283935564,-7.63038029618314,-1.00083621167058,-31.6948098173211,-26.6705958320063,-33.9921539891544,-3.94406968310874,-5.91235763405795,6.87960364568282,1.33185363735968,13.5983535563627,-0.741967650213367,0.756012907609049,-5.36823615764241,2.46768363421041,1.79870421480036,-6.32820275148039,0.385630934652144,1.7016125137374,2.09727294124936,-4.08312314347728,3.60588435726432,2.93645490640295,-4.79868764429137,0.737671908252184,4.1205401422416,-0.0576902779737234,0.0827453589415699,-2.87806254549365,1.89606038772656,0.157608789335597,1.54922895046438,6.95339209458141,-1.0523364963825,4.09867414703508,3.09216856971505,1.11290629557633,3.29614217856595,1.2266586766859,2.0013892968523,-0.970841503634613,-0.166124304010358,-0.179227719127406,0.313455161068603,1.62737961529092,0.455276702310723,-0.694626739133385,-1.00497155149617,0.108840475038606,-0.792024943996164,1.15785481563355,-1.40037134291717,-1.21926677546371,0.855013640766099,0.675273254767153,-0.296935638790678,-0.0243275203656078,0.779989971718571,0.611571419474013,-0.589342819512564,0.0877176376578818,-0.571258276678405,0.231197109381209,-0.0702667006074588,-0.640778796472684,0.132424345506043,1.53938060215575e-13
